MRR mes 1,4822.5
MRR mes 12,26941.6
MRR mes 36,2136461.59
Menor caixa (mes),2026-11
Menor caixa (valor),-98038.75
Break-even mes (primeiro EBITDA>0),2026-09
Runway aproximado (meses),-0.6
