mes,trafego_total,trafego_pago,trafego_organico,trials_total,trials_pagos,trials_organicos,novos_pagantes_total,novos_ads,novos_organicos,novos_afiliados,reativacoes,taxa_trafego_trial,taxa_trial_pago,eficiencia_time,usuarios_ativos,usuarios_lite,usuarios_trader,usuarios_pro,churn_usuarios,churn_mrr,upgrades_lite_trader,expansion_mrr,mrr_cohort_m0,cogs_recorrente,churn_mrr_cohort_m0,receita_bruta,receita_assinaturas,receita_b2b,receita_lite,receita_trader,receita_pro,mrr,arr,arpu,crescimento_mrr_mom,crescimento_mrr_yoy,net_new_mrr,impostos,aliquota_efetiva,taxas_pagamento,inadimplencia,chargeback,total_deducoes,receita_liquida,custo_ia_lite,custo_ia_trader,custo_ia_pro,custo_ia_total,comissao_afiliados,custo_suporte_variavel,total_cogs,margem_bruta,margem_bruta_pct,custo_infra_fixo,infra_tier_ativo,headcount_total,headcount_fundadores,headcount_dev,headcount_cs,custo_pessoal,salarios_brutos,encargos,gasto_marketing,gasto_instagram,gasto_facebook,gasto_youtube,gasto_google,cpc_blended,custo_escritorio,custo_contabilidade,despesas_viagens,despesas_conselho,despesas_freelancer,despesas_beneficios,total_opex,margem_contribuicao,margem_contribuicao_pct,ebitda,ebitda_margin,depreciacao,ebit,ebit_margin,lucro_liquido,margem_liquida,fluxo_operacional,fluxo_investimento,fluxo_financiamento,aportes_capital,capex,distribuicao_lucros,caixa,burn_rate,runway_meses,ltv,cac_blended,cac_paid,ltv_cac,payback_meses,payback_semanas,vida_media_cliente,churn_rate,retention_rate,regra_40,burn_multiple,trafego_potencial_perdido,saturacao_mercado
2,196.30090122004702,100.89108910891089,95.40981211113615,10.622173773873639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,509.5,0.0,0.0,139.8,199.8,169.9,509.5,6114.0,101.9,0.0,0.0,0.0,30.57,0.06,14.685063750000001,28.022500000000004,2.5475,75.82506375,433.67493625,400.0,1200.0,2000.0,3600.0,0.0,0.0,3600.0,-3166.32506375,-621.4573236015701,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.8,71.33,40.760000000000005,71.33,20.380000000000003,2.02,0.0,0.0,0.0,0.0,0.0,0.0,1063.8,0.0,0.0,-4230.12506375,-830.250257850834,0.041666666666666664,-4230.166730416667,0.0,-4230.166730416667,-830.2584358030749,-4230.12506375,0.0,0.0,2000.0,0.0,0.0,-258.4501274999998,4230.12506375,0.0,-5344.008546413502,,0.0,0.0,,0.0,0.0,0.1185,0.8815,-830.250257850834,0.0,1.5176175106550573,0.0
3,114.3933520859967,0.0,114.3933520859967,5.719667604299835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,509.5,0.0,0.0,139.8,199.8,169.9,509.5,6114.0,101.9,0.0,0.0,0.0,30.57,0.06,14.685063750000001,28.022500000000004,2.5475,75.82506375,433.67493625,400.0,1200.0,2000.0,3600.0,0.0,0.0,3600.0,-3166.32506375,-621.4573236015701,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,-4026.32506375,-790.2502578508341,0.041666666666666664,-4026.3667304166665,0.0,-4026.3667304166665,-790.2584358030749,-4026.32506375,0.0,0.0,2000.0,0.0,0.0,-2284.77519125,4026.32506375,0.0,-5412.521476495726,,0.0,0.0,,0.0,0.0,0.11699999999999999,0.883,-790.2502578508341,0.0,1.7129365230084517,0.0
4,117.97030110790755,0.0,117.97030110790755,5.898515055395378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6799999999999999,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,509.5,0.0,0.0,139.8,199.8,169.9,509.5,6114.0,101.9,0.0,0.0,0.0,30.57,0.06,14.685063750000001,28.022500000000004,2.5475,75.82506375,433.67493625,400.0,1200.0,2000.0,3600.0,0.0,0.0,3600.0,-3166.32506375,-621.4573236015701,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,-4026.32506375,-790.2502578508341,0.041666666666666664,-4026.3667304166665,0.0,-4026.3667304166665,-790.2584358030749,-4026.32506375,0.0,0.0,2000.0,0.0,0.0,-4311.100254999999,4026.32506375,0.0,-5482.813963203464,,0.0,0.0,,0.0,0.0,0.11549999999999999,0.8845000000000001,-790.2502578508341,0.0,1.7702292326293474,0.0
5,127.37774367810113,0.0,127.37774367810113,6.3688871839050565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,509.5,0.0,0.0,139.8,199.8,169.9,509.5,6114.0,101.9,0.0,0.0,0.0,30.57,0.06,14.685063750000001,28.022500000000004,2.5475,75.82506375,433.67493625,400.0,1200.0,2000.0,3600.0,0.0,0.0,3600.0,-3166.32506375,-621.4573236015701,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,-4026.32506375,-790.2502578508341,0.041666666666666664,-4026.3667304166665,0.0,-4026.3667304166665,-790.2584358030749,-4026.32506375,0.0,0.0,2000.0,0.0,0.0,-6337.42531875,4026.32506375,0.0,-5554.956252192983,,0.0,0.0,,0.0,0.0,0.11399999999999999,0.886,-790.2502578508341,0.0,1.8294382155806375,0.0
6,137.2908490242401,0.0,137.2908490242401,6.864542451212005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,509.5,0.0,0.0,139.8,199.8,169.9,509.5,6114.0,101.9,0.0,0.0,0.0,30.57,0.06,14.685063750000001,28.022500000000004,2.5475,75.82506375,433.67493625,400.0,1200.0,2000.0,3600.0,0.0,0.0,3600.0,-3166.32506375,-621.4573236015701,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,-4026.32506375,-790.2502578508341,0.041666666666666664,-4026.3667304166665,0.0,-4026.3667304166665,-790.2584358030749,-4026.32506375,0.0,0.0,2000.0,0.0,0.0,-8363.7503825,4026.32506375,0.0,-5629.022335555556,,0.0,0.0,,0.0,0.0,0.11249999999999999,0.8875,-790.2502578508341,0.0,1.8906275655925953,0.0
7,99.41496294098464,0.0,99.41496294098464,4.970748147049232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,509.5,0.0,0.0,139.8,199.8,169.9,509.5,6114.0,101.9,0.0,0.0,0.0,30.57,0.06,14.685063750000001,28.022500000000004,2.5475,75.82506375,433.67493625,400.0,1200.0,2000.0,3600.0,0.0,0.0,3600.0,-3166.32506375,-621.4573236015701,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,-4026.32506375,-790.2502578508341,0.041666666666666664,-4026.3667304166665,0.0,-4026.3667304166665,-790.2584358030749,-4026.32506375,0.0,0.0,2000.0,0.0,0.0,-10390.07544625,4026.32506375,0.0,-5705.090204954956,,0.0,0.0,,0.0,0.0,0.11099999999999999,0.889,-790.2502578508341,0.0,3.6797075611387697,0.0
8,173.0451851437815,0.0,173.0451851437815,8.652259257189076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9199999999999999,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,509.5,0.0,0.0,139.8,199.8,169.9,509.5,6114.0,101.9,0.0,0.0,0.0,30.57,0.06,14.685063750000001,28.022500000000004,2.5475,75.82506375,433.67493625,400.0,1200.0,2000.0,3600.0,0.0,0.0,3600.0,-3166.32506375,-621.4573236015701,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,-4026.32506375,-790.2502578508341,0.041666666666666664,-4026.3667304166665,0.0,-4026.3667304166665,-790.2584358030749,-4026.32506375,0.0,0.0,2000.0,0.0,0.0,-12416.400510000001,4026.32506375,0.0,-5783.242125570776,,0.0,0.0,,0.0,0.0,0.1095,0.8905,-790.2502578508341,0.0,3.8225755170818587,0.0
9,153.00922336249917,0.0,153.00922336249917,7.650461168124959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,509.5,0.0,0.0,139.8,199.8,169.9,509.5,6114.0,101.9,0.0,0.0,0.0,30.57,0.06,14.685063750000001,28.022500000000004,2.5475,75.82506375,433.67493625,400.0,1200.0,2000.0,3600.0,0.0,0.0,3600.0,-3166.32506375,-621.4573236015701,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,-4026.32506375,-790.2502578508341,0.041666666666666664,-4026.3667304166665,0.0,-4026.3667304166665,-790.2584358030749,-4026.32506375,0.0,0.0,2000.0,0.0,0.0,-14442.725573750002,4026.32506375,0.0,-5863.56493287037,,0.0,0.0,,0.0,0.0,0.108,0.892,-790.2502578508341,0.0,3.970990449923562,0.0
10,165.53392270113883,0.0,165.53392270113883,8.276696135056943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,509.5,0.0,0.0,139.8,199.8,169.9,509.5,6114.0,101.9,0.0,0.0,0.0,30.57,0.06,14.685063750000001,28.022500000000004,2.5475,75.82506375,433.67493625,400.0,1200.0,2000.0,3600.0,0.0,0.0,3600.0,-3166.32506375,-621.4573236015701,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,-4026.32506375,-790.2502578508341,0.041666666666666664,-4026.3667304166665,0.0,-4026.3667304166665,-790.2584358030749,-4026.32506375,0.0,0.0,2000.0,0.0,0.0,-16469.0506375,4026.32506375,0.0,-5946.150354460094,,0.0,0.0,,0.0,0.0,0.1065,0.8935,-790.2502578508341,0.0,4.125167726031464,0.0
11,150.25143436107217,0.0,150.25143436107217,7.512571718053609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,509.5,0.0,0.0,139.8,199.8,169.9,509.5,6114.0,101.9,0.0,0.0,0.0,30.57,0.06,14.685063750000001,28.022500000000004,2.5475,75.82506375,433.67493625,400.0,1200.0,2000.0,3600.0,0.0,0.0,3600.0,-3166.32506375,-621.4573236015701,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,-4026.32506375,-790.2502578508341,0.041666666666666664,-4026.3667304166665,0.0,-4026.3667304166665,-790.2584358030749,-4026.32506375,0.0,0.0,0.0,0.0,0.0,-20495.37570125,4026.32506375,0.0,-6031.09535952381,,0.0,0.0,,0.0,0.0,0.105,0.895,-790.2502578508341,0.0,4.2853310735661125,0.0
