sim,scenario,seed,success,time_elapsed,caixa_final,mrr_final,arr_final,usuarios_final,cac_medio,ltv_medio,churn_medio,margem_bruta_media,ebitda_margin_media,nrr,grr,cohort_m6_retention,payback_meses_medio,roi_total_pct,burn_rate_medio,caixa_minimo,mes_caixa_minimo,runway_final,quebrou,runway_critico,var95_caixa,cvar95_caixa,ltv_cac,caixa_series,mrr_series
0,pessimista,343094092,True,0.21433758735656738,21508.090736020262,5963.700000000001,71564.40000000001,63,560.415933656143,722.5503264029804,10.894707059249535,78.43862888412876,-48.62395897314228,1.0,1.0,1.0769230769230769,6.118666678556108,12.53371140008444,1214.3522055430742,4142.1329102109485,24,6.310957455795898,False,True,5122.663662448456,4391.613215805033,1.6878327079914763,"[4641.093521399118, 5283.187042798236, 13826.248386295112, 9733.274963149597, 10960.780860840045, 12188.286758530492, 13415.79265622094, 14643.298553911387, 15870.804451601834, 17098.310349292282, 16325.81624698273, 15634.496998855895, 15000.52380930512, 14366.550619754344, 21657.374047907986, 15944.562709419235, 15919.830691766447, 15895.098674113658, 15870.36665646087, 15845.634638808082, 15820.902621155294, 15796.170603502505, 15907.770960895321, 4142.1329102109485, 12290.717535807056, 7055.826715596731, 15543.358571666884, 10864.922211158928, 11876.19190922703, 12940.67646147785, 14079.893130880784, 15380.69702951204, 16712.101840902073, 18171.453623626938, 19809.778694156183, 21508.090736020262]","[509.5, 509.5, 579.4, 1228.7, 1228.7, 1228.7, 1228.7, 1228.7, 1228.7, 1228.7, 1228.7, 1328.6000000000001, 1398.5, 1398.5, 1498.4, 2147.7, 2147.7, 2147.7, 2147.7, 2147.7, 2147.7, 2147.7, 2317.6, 2487.4, 2657.2000000000003, 3306.5, 3476.3, 4395.400000000001, 4465.3, 4565.200000000001, 4705.0, 4974.8, 5144.6, 5384.3, 5724.0, 5963.700000000001]"
1,pessimista,343104065,True,0.18563199043273926,140290.5634975037,42615.3,511383.60000000003,447,228.06959479258987,697.3132232305766,11.312957968198276,81.37101166794754,6.066563214695538,1.0,1.0,2.4545454545454546,2.7881281617847034,507.4606812395987,328.3208052130714,4430.468824779262,1,5.232683308210988,False,True,5635.49639031766,4716.2409365592275,3.3915944526515416,"[4430.468824779262, 5002.013048339193, 5846.657504310483, 6888.933196457305, 8204.309121015485, 9799.835843135004, 11783.574472455608, 14180.488732968239, 16857.553791042206, 19797.08923751975, 21015.556152584188, 22555.51409762132, 24352.039348640203, 26302.020230851114, 28774.119655219314, 31634.450780585765, 34878.02417210044, 38422.36026837754, 42465.407627038694, 46851.73725184808, 51614.29857765571, 56950.68284063712, 62689.54104455649, 57086.41758443031, 64248.936855275075, 71638.0900670578, 80313.98164100348, 89698.98301949052, 99930.61003991376, 102423.34686487835, 105902.7847305598, 110431.03219457975, 115852.66026070238, 122595.88083612878, 130684.43831587544, 140290.5634975037]","[649.3000000000001, 819.1, 1158.8, 1398.5, 1738.2, 2077.8, 2557.3, 3066.8, 3406.4, 3885.9, 4465.3, 5144.6, 5793.900000000001, 6303.400000000001, 7192.4, 8111.500000000002, 9030.5, 9849.6, 10868.6, 11787.600000000002, 12706.7, 13865.5, 14924.300000000001, 16252.900000000001, 17851.300000000003, 18910.1, 21018.0, 22926.0, 24903.9, 26811.899999999998, 28959.600000000002, 31307.200000000004, 33554.8, 36281.9, 39278.8, 42615.3]"
2,pessimista,343114038,True,0.1914503574371338,20790.453518380687,5444.400000000001,65332.8,56,397.49760361940906,510.9885843496395,15.472459950333603,78.38530756234361,-49.7966382241629,1.0,1.0,4.0,3.946613954739363,9.54355632658617,918.6032995061526,4582.2496203602,1,6.601630385140701,False,True,5646.3503047710365,4873.874430540301,1.7112448864283405,"[4582.2496203602, 5165.499240720401, 5806.633992787915, 6447.76874485543, 7088.903496922944, 7730.038248990459, 8450.891153822333, 9229.62919036152, 18005.63227358146, 21983.875162281147, 16403.09586119667, 16464.75142840488, 16585.72124285013, 16647.37681005834, 16848.064777267948, 17007.36362894783, 17166.662480627714, 25189.612443101225, 19873.50206302621, 20239.786551243884, 20634.03103946156, 21086.160659386547, 21590.048432075895, 10187.590140652372, 10717.17184922885, 11113.139621918197, 11848.284614966347, 12505.434739721812, 13272.22814894895, 14104.715494063217, 14927.127970884798, 15801.298600470738, 16773.11251452835, 18006.108780652085, 19270.753462954806, 20790.453518380687]","[509.5, 509.5, 579.4, 579.4, 579.4, 579.4, 679.3000000000001, 749.2, 919.1000000000001, 1668.3000000000002, 2417.5, 2347.6, 2417.5, 2347.6, 2517.4, 2517.4, 2517.4, 2517.4, 3166.7000000000003, 3096.8, 3096.8, 3166.7000000000003, 3266.6000000000004, 3436.5000000000005, 3436.5000000000005, 3266.6000000000004, 3606.3000000000006, 3676.2000000000003, 3846.0000000000005, 4015.9000000000005, 4085.8, 4185.7, 4355.5, 4765.1, 5004.8, 5444.400000000001]"
3,pessimista,343124011,True,0.1887521743774414,97721.14605107132,20039.4,240472.80000000002,206,307.6208316594919,564.4446461579338,13.766456273980374,77.35872210878735,0.8459967633748823,1.0,1.0,1.4482758620689655,3.0631665028915736,330.0881085461305,615.7192525286713,4199.658733357264,1,10.26985606263637,False,True,11188.442348148741,6239.889532306174,2.4326240262077645,"[4199.658733357264, 12157.883020446627, 8280.120331255084, 17011.703446457883, 13649.874227852422, 15641.760202248497, 17690.317624179905, 19958.552883521264, 22283.459590397957, 24787.783747622405, 25504.333744192583, 26373.924386047827, 27302.481117911044, 28273.332492246904, 29575.359154340473, 30991.17790925444, 32642.251951926115, 34407.11808741819, 36284.49350785555, 38343.62102111331, 40458.58637178102, 42839.93526280446, 45510.082636522915, 36392.236745534414, 39636.5722323116, 42980.32300684649, 46770.8866066824, 50918.65788696306, 55446.86518748205, 60267.48842104382, 65480.54767484391, 71099.36575675744, 76998.02841137396, 83411.91308904123, 90301.77123729458, 97721.14605107132]","[579.4, 679.3000000000001, 1598.4000000000003, 1668.3000000000002, 2757.2, 2857.1000000000004, 2927.0, 3196.7, 3266.6000000000004, 3506.4, 3776.1, 4115.8, 4355.5, 4525.3, 5034.8, 5444.400000000001, 5953.900000000001, 6363.5, 6703.1, 7112.700000000001, 7382.400000000001, 7861.9000000000015, 8471.300000000001, 9050.7, 9799.9, 10309.400000000001, 11128.5, 12007.7, 12926.7, 13775.900000000001, 14694.900000000001, 15683.900000000001, 16533.0, 17621.9, 18780.7, 20039.4]"
4,pessimista,343133984,True,0.23971772193908691,86544.21482898173,19519.600000000002,234235.2,204,312.246183787787,1289.724430525993,6.000000000000001,80.99260331186701,-2.109437006673939,1.0,1.0,2.0714285714285716,3.77940786925164,283.51756178742386,441.7481327977721,4701.114247364418,1,9.79149465828831,False,True,6133.943265794371,5080.880590049581,4.393110883269601,"[4701.114247364418, 5460.646932734744, 6358.375376814247, 7394.299579602926, 8622.905307919034, 9989.706794944319, 11629.9671282003, 13408.423220165458, 15301.716188142433, 17333.204914828584, 17571.19440731498, 17954.296534522364, 18567.794828663715, 19201.06731952015, 20069.337094613187, 21104.64415394283, 22309.921168696736, 23763.052788390516, 25424.03901302417, 27269.520959900332, 29257.012862200758, 31492.359369441056, 33992.97891962714, 24788.329950764906, 27873.811345551723, 31156.645783284323, 34895.766343375144, 39037.77879264245, 43476.83848157062, 48276.304292857014, 53536.08043132579, 59280.98421768023, 65312.433681701434, 71811.59235560239, 78844.22978658257, 86544.21482898173]","[509.5, 579.4, 749.2, 919.0, 1158.8, 1328.6000000000001, 1668.3000000000002, 1838.1000000000001, 1977.9000000000003, 2147.7, 2417.5, 2727.1, 3166.7000000000003, 3406.4, 3816.0000000000005, 4225.6, 4635.1, 5144.6, 5654.1, 6133.6, 6543.1, 7052.6, 7632.000000000001, 8281.300000000001, 8960.6, 9540.0, 10389.1, 11308.2, 12127.300000000001, 12976.400000000001, 13965.400000000001, 15054.300000000001, 15943.300000000001, 16962.3, 18121.0, 19519.600000000002]"
5,pessimista,343143957,True,0.2274150848388672,17714.699204864963,6163.6,73963.20000000001,64,420.82534296980384,764.1843141803149,10.475246662800213,80.73927150913038,-41.13602280849872,1.0,1.0,1.7,4.6369126585057385,-3.272086646395995,847.1571426510138,3801.7462378524942,24,5.198720392332215,False,True,4463.323617429258,4083.53051807862,2.1532162357747153,"[4495.993223804095, 4992.986447608189, 5548.2460253638, 6183.895104371229, 6936.076891281689, 7768.648179443968, 8737.742873006817, 9765.103920521182, 10872.854469287364, 12038.871372005062, 11263.154628674276, 10704.35079199588, 10284.202810520816, 17709.69940590475, 12416.700400747002, 12728.101395589254, 13039.502390431506, 13350.903385273758, 13662.30438011601, 13975.837824761024, 14289.411269406039, 14797.77447340314, 15290.607178652059, 3801.7462378524942, 4365.314798304746, 4947.189712708514, 5776.283887716187, 6666.420271878708, 7735.855916645134, 8866.33377056641, 10039.58747969102, 11339.710948167714, 12682.570271847744, 14232.688856131677, 15843.84964957046, 17714.699204864963]","[509.5, 509.5, 579.4, 679.3000000000001, 819.1, 919.0, 1088.9, 1158.8, 1258.7, 1328.6000000000001, 1398.5, 1668.3000000000002, 1838.1000000000001, 1838.1000000000001, 2827.1000000000004, 2827.1000000000004, 2827.1000000000004, 2827.1000000000004, 2827.1000000000004, 2827.0, 2827.0, 3066.8, 3166.7000000000003, 3236.6000000000004, 3336.5, 3406.4, 3746.1000000000004, 3985.8, 4325.5, 4565.200000000001, 4735.0, 4974.8, 5144.6, 5484.3, 5724.0, 6163.6]"
6,pessimista,343153930,True,0.22850966453552246,266.44321350946825,2317.6,27811.199999999997,24,277.15859466099175,364.6039901822356,20.85283204817669,78.6446201838169,-83.92780804561066,0.8,0.8,2.8333333333333335,5.407551928315159,-75.97315327704388,1090.2882346154465,-8860.238450241592,24,0.2695795148649643,True,True,-7717.294825577343,-8504.36658852753,0.9209821962423655,"[4335.218574309105, 4671.43714861821, 5007.655722927315, 5343.87429723642, 5760.093583961292, 6233.12268005035, 6762.961585503594, 7372.8012033726045, 15762.939199287095, 11824.478980400509, 11087.313393508319, 10350.147806616129, 9612.98221972394, 8819.006823467564, 8081.841236575374, 7344.675649683184, 6736.453673961564, 6128.231698239944, 5576.81953188251, 5105.408077940843, 4553.995911583409, 4082.584457641742, 3611.1730037000752, -8860.238450241592, -8148.494726813469, -7573.5615251653, -6861.817801737177, -6150.074078309055, -5438.330354880933, -4726.58663145281, -3934.8421956089205, -3143.097759765031, -2351.353323921141, -1559.6088880772513, -711.0546428691766, 266.44321350946825]","[409.6, 409.6, 409.6, 409.6, 509.5, 579.4, 649.3000000000001, 749.2, 819.1, 1568.3, 1568.3, 1568.3, 1568.3, 1498.4, 1568.3, 1568.3, 1738.2, 1738.2, 1808.1000000000001, 1908.0000000000002, 1808.1000000000001, 1908.0000000000002, 1908.0000000000002, 1908.0000000000002, 1977.9000000000003, 1808.1000000000001, 1977.9000000000003, 1977.9000000000003, 1977.9000000000003, 1977.9000000000003, 2077.8, 2077.8, 2077.8, 2077.8, 2147.7, 2317.6]"
7,pessimista,343163903,True,0.14727520942687988,9857.491350816215,5284.400000000001,63412.8,56,175.26177032796204,333.54203820016636,22.705339602304907,77.53075341447256,-42.81049558528005,0.8,0.8,0.8666666666666667,3.2375945220712303,283.9372837704054,933.7440341152118,-7452.725861865626,24,3.107911229549077,True,True,-4846.162853342581,-6663.144103935562,1.8942125565187822,"[2870.6675874281555, 1613.8248576402589, 485.4924450684143, -562.0527590765778, 6762.254020047697, 813.3870151563087, 420.44895259682926, 27.510890037349782, -150.65237202382684, -33.2536251598483, 84.14512170413025, -94.01814035704638, 104.16781493378448, -221.77645158996972, 33.1565435186418, 73.31473812895081, 7946.829946901153, 2689.375937118376, 2940.441927335599, 3191.5079175528217, 3442.5739077700446, 3774.4271064141203, 4194.830622274248, -7452.725861865626, -5873.5623460054985, -4503.6963557882755, 4727.684808274758, -3.023246217187989, 2368.2816594730857, 3174.05360498114, 4137.122907523028, 5141.806458309547, 6159.35721752292, 7322.205333770125, 8526.667698261963, 9857.491350816215]","[409.6, 239.70000000000002, 409.6, 509.5, 509.5, 1398.5, 1328.6000000000001, 1328.6000000000001, 1228.7, 1228.7, 1228.7, 1228.7, 1328.6000000000001, 1228.7, 1398.5, 1498.4, 1568.3, 2797.0, 2797.0, 2797.0, 2797.0, 2896.9, 3066.8, 3066.8, 3066.8, 2797.0, 2896.9, 4125.6, 4055.7000000000003, 4125.6, 4365.400000000001, 4535.200000000001, 4635.1, 4874.900000000001, 5044.7, 5284.400000000001]"
8,pessimista,343173876,True,0.13013863563537598,102919.79174705812,26122.700000000004,313472.4,273,269.2191718816855,721.986932296592,10.816837064578438,79.70720974689044,-0.6011921322869271,1.0,1.0,2.1875,3.0945584496752603,351.7491322794089,449.2086717886238,4589.050446055633,1,5.031079818522179,False,True,5805.350610709958,4924.4270111915075,3.1068544267661995,"[4589.050446055633, 5259.803576327382, 5987.199622170818, 6927.46037371272, 8005.066725042424, 9276.661591731616, 10817.764079690962, 12552.855083009796, 14557.453707598783, 16756.040847547258, 17224.135608765886, 17814.190407061382, 18630.61551084315, 19465.189129984403, 20667.3788857553, 22044.66186258415, 23681.640976042647, 25469.653541914668, 27477.90290715009, 29689.24549344347, 32160.284216366494, 34863.059075919155, 37854.21298767315, 29129.845720272897, 32815.3028735062, 36756.77818485151, 41325.52576945609, 46225.58360583761, 51737.77639969452, 65494.84540277028, 67095.70621598065, 74698.0249022381, 82800.65831461539, 91508.79251561144, 101048.01512649641, 102919.79174705812]","[649.3000000000001, 749.2, 819.1, 1088.9, 1258.7, 1498.4, 1838.1000000000001, 2077.8, 2417.5, 2657.2000000000003, 2996.9, 3306.5, 3746.1000000000004, 3985.8, 4565.200000000001, 5074.7, 5654.1, 6133.6, 6643.0, 7152.5, 7731.900000000001, 8311.300000000001, 8960.6, 9639.900000000001, 10489.0, 11238.300000000001, 12397.100000000002, 13386.0, 14644.7, 15803.5, 18460.700000000004, 19789.300000000003, 21078.0, 22476.5, 24214.7, 26122.700000000004]"
9,pessimista,343183849,True,0.13472938537597656,9221.787574092334,6303.400000000001,75640.8,66,124.03186970899003,480.4959318167014,15.851738386459685,79.10462966689587,-6.943631788954046,1.0,1.0,1.875,2.525991414481022,268.04468935230835,456.28421927913104,-9245.496272297492,24,2.649081126029865,True,True,-6092.59357753242,-8327.764595753968,2.6492449110044416,"[2970.280044573237, 1941.5600891464737, 968.9746008190077, -3.6108875084582905, -349.390968561141, -616.2934854308044, -827.0615352011706, -958.9520207885176, -958.9155841917745, -823.867116312715, -632.6841813343582, -385.3667792567045, -59.171812996031235, 267.023153264642, 260.7970729917216, 230.9599269173956, 478.0048121253857, 670.1441837004853, 866.6324894741794, 1086.0783594308928, 1321.6986964869034, 1740.1635199100235, 2185.72037461546, -9245.496272297492, -7410.032919210443, -5653.447130306412, -3686.0568550352723, -1662.532112664835, 439.87019388862154, 1234.9789988236912, 2257.281224324465, 3306.889948206852, 4527.557625555646, 5803.4918012860535, 7385.496961765183, 9221.787574092334]","[509.5, 509.5, 579.4, 579.4, 649.3000000000001, 749.2, 819.1, 919.0, 1088.9, 1258.7, 1328.6000000000001, 1398.5, 1498.4, 1498.4, 1838.1000000000001, 1977.9000000000003, 2147.7, 2417.5, 2557.3, 2657.2000000000003, 2727.1, 2996.9, 3166.7000000000003, 3406.4, 3406.4, 3306.5, 3576.3, 3646.2000000000003, 3746.1000000000004, 3985.8, 4395.400000000001, 4635.1, 4974.8, 5214.5, 5724.0, 6303.400000000001]"
